mol_id,smiles,source_db,molecular_target,mechanism_class,best_ref_name,best_ref_id,adc_approved_ref,bystander_ref,ensemble_tanimoto,scaffold_match,scaffold_score,pharmacophore_score,composite_score,priority_tier,matched_pharmacophores,top5_refs,top5_scores,processed_at,valid_smiles,cytotox_hepg2,cytotox_hskmc,cytotox_imr90,cancer_potency_nci60,Protox_Class,Predicted LD50 (mg/kg)
m_270004____20075922____24721906,C=C(Br)CN(C)CC1(NC(=O)OC(C)(C)C)CCOCC1,Enamine_REAL,DNA (crosslinks),DNA Crosslinker,Mitomycin C,67,No,Low,0.2547,TRUE,1,0.1429,0.4559,2,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Mitomycin C; Auristatin F; FR901464; Spliceostatin A; Thailanstatin A,0.255; 0.250; 0.247; 0.246; 0.244,11:43.2,TRUE,0.054279146,0.000247179,0.172714883,1.69E-06,,
CHEMBL173665,CCCOc1ccc(/C=C/C(=O)N2C[C@H]3C[C@@]34C2=CC(=O)c2[nH]c(C)c(C(=O)OC)c24)cc1,ChEMBL,DNA (minor groove),Duocarmycin,Duocarmycin SA,26,No,High,0.6052,FALSE,0,0.2143,0.3454,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; Kinesin Eg5 (KSP),Duocarmycin SA; CC-1065; Adozelesin; Duocarmycin A; KW-2189,0.605; 0.543; 0.531; 0.501; 0.435,12:43.2,TRUE,0.151631037,0.208753092,0.259405131,0.957694802,,
CHEMBL60476,O=C1C=C2N(C(=O)c3cc4cc5ccccc5cc4[nH]3)CC3CC23c2ccccc21,ChEMBL,DNA (minor groove),Duocarmycin,Adozelesin,28,No,High,0.6325,FALSE,0,0.2143,0.3591,3,Tubulin (?ý) - Vinca/Auristatin; RNA Polymerase II - Amatoxin; Kinesin Eg5 (KSP),Adozelesin; Duocarmycin SA; Duocarmycin A; CC-1065; KW-2189,0.633; 0.617; 0.534; 0.526; 0.388,12:43.2,TRUE,0.380402721,0.251304105,0.509473918,0.216311794,,
CHEMBL368460,COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)c(OCC(=O)OC(C)(C)C)c1)C3=CC2=O,ChEMBL,DNA (minor groove),Duocarmycin,Duocarmycin SA,26,No,High,0.6184,FALSE,0,0.2143,0.3521,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; Kinesin Eg5 (KSP),Duocarmycin SA; CC-1065; Adozelesin; Duocarmycin A; KW-2189,0.618; 0.548; 0.533; 0.527; 0.448,12:43.2,TRUE,0.147425871,0.058724645,0.155021016,0.886252484,,
CHEMBL215879,COC(=O)c1cc(NC(=O)CCCOc2cc3c(cc2OC)C(=O)N2CCC[C@H]2C=N3)cn1C,ChEMBL,DNA (minor groove),PBD Dimer,Tesirine payload (SG3199),21,Yes,High,0.5741,FALSE,0,0.1429,0.3156,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Tesirine payload (SG3199); Tomaymycin; KW-2189; Duocarmycin SA; Vincristine,0.574; 0.402; 0.381; 0.374; 0.359,12:43.2,TRUE,0.041860016,0.015372643,0.050653299,0.862394206,,
CHEMBL382620,COc1cc2c(cc1OC(=O)c1cc3ccccc3[nH]1)N=C[C@@H]1CCCN1C2=O,ChEMBL,DNA (minor groove),PBD Dimer,Tesirine payload (SG3199),21,Yes,High,0.5407,FALSE,0,0.2143,0.3132,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; RNA Polymerase II - Amatoxin,Tesirine payload (SG3199); Duocarmycin SA; KW-2189; Tomaymycin; Duocarmycin A,0.541; 0.430; 0.424; 0.416; 0.404,11:21.0,TRUE,0.16754781,0.078753945,0.088078354,0.996675196,,
CHEMBL1164715,COc1cc2c(cc1OC)C(=O)N1C=C(c3ccc(Br)cc3)C[C@H]1C=N2,ChEMBL,DNA (minor groove),PBD Dimer,Tesirine payload (SG3199),21,Yes,High,0.6732,FALSE,0,0.1429,0.3652,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Tesirine payload (SG3199); Tomaymycin; Anthramycin; Sibiromycin; Duocarmycin SA,0.673; 0.410; 0.388; 0.381; 0.329,37:11.2,TRUE,0.130943101,0.087288518,0.104977265,0.975667375,,
CHEMBL1165251,COc1cc2c(cc1OC)C(=O)N1C=C(c3cccc(Cl)c3)C[C@H]1C=N2,ChEMBL,DNA (minor groove),PBD Dimer,Tesirine payload (SG3199),21,Yes,High,0.6599,FALSE,0,0.1429,0.3585,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Tesirine payload (SG3199); Tomaymycin; Anthramycin; Sibiromycin; Duocarmycin SA,0.660; 0.406; 0.385; 0.378; 0.327,12:01.5,TRUE,0.159819755,0.102452217,0.110234917,0.982618257,,
ZINC48332287,COc1cc2cc(C(=O)N3CCC[C@@H](C(F)(F)F)C3)[nH]c2c(OC)c1OC,ZINC12,DNA (minor groove),Duocarmycin,Duocarmycin SA,26,No,High,0.5463,FALSE,0,0.2857,0.3303,3,Tubulin (?ý) - Vinca/Auristatin; RNA Polymerase II - Amatoxin; Kinesin Eg5 (KSP); HSP90,Duocarmycin SA; KW-2189; Duocarmycin A; CC-1065; Adozelesin,0.546; 0.533; 0.532; 0.438; 0.372,05:54.9,TRUE,0.057560303,0.030865399,0.155781272,0.555481142,,
CHEMBL328384,COc1cc2cc(C(=O)N3C[C@H]4C[C@@]45C3=CC(=O)c3[nH]c(C)c(/C=N/O)c35)[nH]c2c(OC)c1OC,ChEMBL,DNA (minor groove),Duocarmycin,Duocarmycin SA,26,No,High,0.7857,TRUE,1,0.2857,0.75,1,Tubulin (?ý) - Vinca/Auristatin; RNA Polymerase II - Amatoxin; Kinesin Eg5 (KSP); HSP90,Duocarmycin SA; Duocarmycin A; CC-1065; Adozelesin; KW-2189,0.786; 0.657; 0.643; 0.599; 0.504,12:01.5,TRUE,0.207404414,0.236799258,0.322034451,0.991358572,,
