mol_id,smiles,source_db,molecular_target,mechanism_class,best_ref_name,best_ref_id,adc_approved_ref,bystander_ref,ensemble_tanimoto,scaffold_match,scaffold_score,pharmacophore_score,composite_score,priority_tier,matched_pharmacophores,top5_refs,top5_scores,processed_at,valid_smiles,cytotox_hepg2,cytotox_hskmc,cytotox_imr90,cancer_potency_nci60,Protox_Class,Predicted LD50 (mg/kg)
ZINC21986103,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@@H]1CCCCO1,ZINC12,Topo II / DNA,Anthracycline,Daunorubicin,46,No,Low,0.7596,FALSE,0,0.1429,0.4084,3,Tubulin (?ý) - Vinca/Auristatin; Topoisomerase II / DNA - Anthracycline,Daunorubicin; Epirubicin; Doxorubicin; Nemorubicin; PNU-159682,0.760; 0.712; 0.712; 0.685; 0.638,46:03.2,TRUE,0.790393164,0.778889981,0.68152681,0.994105291,4,570
CHEMBL318863,C#C[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](c2cc(OC)c(OC)c(OC)c2)C1)C(=O)c1ccccc1C3=O,ChEMBL,Topo II / DNA,Anthracycline,Daunorubicin,46,No,Low,0.5157,FALSE,0,0.2143,0.3007,3,DNA - Calicheamicin/Enediyne; Topoisomerase II / DNA - Anthracycline; HSP90,Daunorubicin; Epirubicin; Doxorubicin; Nemorubicin; PNU-159682,0.516; 0.493; 0.493; 0.456; 0.433,09:14.5,TRUE,0.687349763,0.313344587,0.499950676,0.997492403,3,221
ZINC08445524,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3OC(C)(C)C,ZINC12,Topo II / DNA,Anthracycline,Daunorubicin,46,No,Low,0.7282,FALSE,0,0.1429,0.3927,3,Tubulin (?ý) - Vinca/Auristatin; Topoisomerase II / DNA - Anthracycline,Daunorubicin; Epirubicin; Doxorubicin; Nemorubicin; PNU-159682,0.728; 0.658; 0.658; 0.605; 0.571,17:56.1,TRUE,0.72301333,0.668896148,0.603936698,0.978085807,4,570
ZINC08445522,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@H]3OC(C)(C)C,ZINC12,Topo II / DNA,Anthracycline,Daunorubicin,46,No,Low,0.7282,FALSE,0,0.1429,0.3927,3,Tubulin (?ý) - Vinca/Auristatin; Topoisomerase II / DNA - Anthracycline,Daunorubicin; Epirubicin; Doxorubicin; Nemorubicin; PNU-159682,0.728; 0.658; 0.658; 0.605; 0.571,17:56.1,TRUE,0.729493291,0.664678031,0.600156931,0.975402099,4,570
CHEMBL2008059,CC1OC(OC2CCCc3c(O)c4c(c(O)c32)C(=O)c2ccccc2C4=O)CC(N)C1O,ChEMBL,Topo II / DNA,Anthracycline,Daunorubicin,46,No,Low,0.6942,FALSE,0,0.1429,0.3757,3,Tubulin (?ý) - Vinca/Auristatin; Topoisomerase II / DNA - Anthracycline,Daunorubicin; Epirubicin; Doxorubicin; Nemorubicin; PNU-159682,0.694; 0.669; 0.669; 0.528; 0.476,37:11.2,TRUE,0.757327553,0.556098676,0.631210259,0.915393436,2,7
ZINC33721091,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@H](OC(C)(C)C)C1)C(=O)c1ccccc1C3=O,ZINC12,Topo II / DNA,Anthracycline,Daunorubicin,46,No,Low,0.6508,FALSE,0,0.1429,0.354,3,Tubulin (?ý) - Vinca/Auristatin; Topoisomerase II / DNA - Anthracycline,Daunorubicin; Epirubicin; Doxorubicin; Nemorubicin; PNU-159682,0.651; 0.587; 0.587; 0.542; 0.510,00:33.3,TRUE,0.708627227,0.661930914,0.549216774,0.961242253,2,7
ZINC08445525,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)(C(C)=O)C[C@@H]3OC(C)(C)C,ZINC12,Topo II / DNA,Anthracycline,Daunorubicin,46,No,Low,0.7282,FALSE,0,0.1429,0.3927,3,Tubulin (?ý) - Vinca/Auristatin; Topoisomerase II / DNA - Anthracycline,Daunorubicin; Epirubicin; Doxorubicin; Nemorubicin; PNU-159682,0.728; 0.658; 0.658; 0.605; 0.571,17:56.1,TRUE,0.726717387,0.67331308,0.595275873,0.983824724,2,7
ZINC21986105,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1CCCCO1,ZINC12,Topo II / DNA,Anthracycline,Daunorubicin,46,No,Low,0.7596,TRUE,1,0.1429,0.7084,1,Tubulin (?ý) - Vinca/Auristatin; Topoisomerase II / DNA - Anthracycline,Daunorubicin; Epirubicin; Doxorubicin; Nemorubicin; PNU-159682,0.760; 0.712; 0.712; 0.685; 0.638,46:03.2,TRUE,0.796053072,0.772628261,0.691687679,0.995807299,4,570
ZINC33721092,CC(=O)[C@@]1(O)Cc2c(O)c3c(c(O)c2[C@H](OC(C)(C)C)C1)C(=O)c1ccccc1C3=O,ZINC12,Topo II / DNA,Anthracycline,Daunorubicin,46,No,Low,0.6508,FALSE,0,0.1429,0.354,3,Tubulin (?ý) - Vinca/Auristatin; Topoisomerase II / DNA - Anthracycline,Daunorubicin; Epirubicin; Doxorubicin; Nemorubicin; PNU-159682,0.651; 0.587; 0.587; 0.542; 0.510,00:33.3,TRUE,0.702127851,0.657151571,0.557511973,0.948262492,2,7
ZINC08445515,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](OC(C)(C)C)C1)C(=O)c1ccccc1C3=O,ZINC12,Topo II / DNA,Anthracycline,Daunorubicin,46,No,Low,0.6508,FALSE,0,0.1429,0.354,3,Tubulin (?ý) - Vinca/Auristatin; Topoisomerase II / DNA - Anthracycline,Daunorubicin; Epirubicin; Doxorubicin; Nemorubicin; PNU-159682,0.651; 0.587; 0.587; 0.542; 0.510,17:56.1,TRUE,0.715232605,0.658475697,0.534498178,0.961550522,2,7
ZINC08445523,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)(C(C)=O)C[C@H]3OC(C)(C)C,ZINC12,Topo II / DNA,Anthracycline,Daunorubicin,46,No,Low,0.7282,FALSE,0,0.1429,0.3927,3,Tubulin (?ý) - Vinca/Auristatin; Topoisomerase II / DNA - Anthracycline,Daunorubicin; Epirubicin; Doxorubicin; Nemorubicin; PNU-159682,0.728; 0.658; 0.658; 0.605; 0.571,17:56.1,TRUE,0.732428437,0.670039581,0.580091225,0.983846548,4,570
ZINC33721093,CC(=O)[C@@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](OC(C)(C)C)C1)C(=O)c1ccccc1C3=O,ZINC12,Topo II / DNA,Anthracycline,Daunorubicin,46,No,Low,0.6508,FALSE,0,0.1429,0.354,3,Tubulin (?ý) - Vinca/Auristatin; Topoisomerase II / DNA - Anthracycline,Daunorubicin; Epirubicin; Doxorubicin; Nemorubicin; PNU-159682,0.651; 0.587; 0.587; 0.542; 0.510,00:33.3,TRUE,0.710270251,0.652573135,0.554277352,0.942461744,2,7
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
