mol_id,smiles,source_db,molecular_target,mechanism_class,best_ref_name,best_ref_id,adc_approved_ref,bystander_ref,ensemble_tanimoto,scaffold_match,scaffold_score,pharmacophore_score,composite_score,priority_tier,matched_pharmacophores,top5_refs,top5_scores,processed_at,valid_smiles,cytotox_hepg2,cytotox_hskmc,cytotox_imr90,cancer_potency_nci60,Protox_Class,Predicted LD50 (mg/kg)
CHEMBL321011,CCCNCCc1c2c(nc3cc4c(cc13)OCCO4)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,ChEMBL,Topoisomerase I,Camptothecin,Belotecan,17,No,High,0.8111,FALSE,0,0.1429,0.4341,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Belotecan; SN-38; Camptothecin; 10-Hydroxycamptothecin; Topotecan,0.811; 0.776; 0.722; 0.717; 0.709,14:47.9,TRUE,0.525917486,0.172139518,0.363552458,0.999581259,3,50
CHEMBL5405332,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2-c1cccc(C)c1)OCO3,ChEMBL,Topoisomerase I,Camptothecin,Camptothecin,15,No,High,0.7643,FALSE,0,0.1429,0.4107,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Camptothecin; 10-Hydroxycamptothecin; SN-38; Belotecan; Topotecan,0.764; 0.741; 0.739; 0.706; 0.700,09:14.5,TRUE,0.505899775,0.270954229,0.26179965,0.998571581,3,50
CHEMBL524170,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cccc3c1c2N(CCC(C)C)C=N3,ChEMBL,Topoisomerase I,Camptothecin,Camptothecin,15,No,High,0.7239,FALSE,0,0.1429,0.3905,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Camptothecin; Belotecan; SN-38; 10-Hydroxycamptothecin; Topotecan,0.724; 0.715; 0.697; 0.693; 0.672,12:43.2,TRUE,0.534617469,0.320158888,0.322711894,0.999781945,3,50
CHEMBL563695,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2C1CCCCCCC1,ChEMBL,Topoisomerase I,Camptothecin,Camptothecin,15,No,High,0.8308,FALSE,0,0.1429,0.444,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Camptothecin; Belotecan; SN-38; 10-Hydroxycamptothecin; Topotecan,0.831; 0.813; 0.806; 0.778; 0.742,12:01.5,TRUE,0.554598698,0.371343898,0.337754282,0.999583018,3,50
CHEMBL2008086,CC[C@@]1(OC(=O)CN(C)C)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,ChEMBL,Topoisomerase I,Camptothecin,Camptothecin,15,No,High,0.7782,TRUE,1,0.1429,0.7177,1,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Camptothecin; 10-Hydroxycamptothecin; Topotecan; SN-38; Belotecan,0.778; 0.717; 0.717; 0.655; 0.655,44:37.5,TRUE,0.509727639,0.097117098,0.18102653,0.999794689,3,50
CHEMBL52226,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CCl)OCCO3,ChEMBL,Topoisomerase I,Camptothecin,SN-38,11,Yes,High,0.7847,FALSE,0,0.1429,0.4209,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,SN-38; Camptothecin; 10-Hydroxycamptothecin; Belotecan; Topotecan,0.785; 0.760; 0.747; 0.741; 0.721,11:21.0,TRUE,0.52612513,0.168355525,0.344010955,0.997947261,3,50
CHEMBL1172082,CCC1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccc(O)cc1c2C(F)(F)F,ChEMBL,Topoisomerase I,Camptothecin,SN-38,11,Yes,High,0.75,FALSE,0,0.1429,0.4036,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,SN-38; 10-Hydroxycamptothecin; Camptothecin; Topotecan; Belotecan,0.750; 0.719; 0.666; 0.662; 0.650,14:06.1,TRUE,0.524371506,0.223433118,0.443241999,0.99729346,3,50
CHEMBL5411526,CCCCc1ccc(-c2c3c(nc4cc5c(cc24)OCO5)-c2cc4c(c(=O)n2C3)COC(=O)[C@]4(O)CC)cc1,ChEMBL,Topoisomerase I,Camptothecin,Camptothecin,15,No,High,0.7331,FALSE,0,0.1429,0.3951,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Camptothecin; SN-38; 10-Hydroxycamptothecin; Belotecan; Topotecan,0.733; 0.725; 0.722; 0.706; 0.690,09:14.5,TRUE,0.55974227,0.310422556,0.330583734,0.99904348,3,50
CHEMBL263744,CCOC1c2cc3cccc([N+](=O)[O-])c3nc2-c2cc3c(c(=O)n21)COC(=O)[C@]3(O)CC,ChEMBL,Topoisomerase I,Camptothecin,Camptothecin,15,No,High,0.69,TRUE,1,0.1429,0.6736,1,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Camptothecin; 10-Hydroxycamptothecin; SN-38; Belotecan; Topotecan,0.690; 0.657; 0.637; 0.622; 0.620,14:06.1,TRUE,0.51847668,0.172392981,0.34627684,0.991410822,3,50
CHEMBL461086,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c4c(ccc3nc2-1)OCN(c1ccc(F)c(Cl)c1)C4,ChEMBL,Topoisomerase I,Camptothecin,Camptothecin,15,No,High,0.7441,FALSE,0,0.1429,0.4006,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Camptothecin; 10-Hydroxycamptothecin; Topotecan; SN-38; Exatecan,0.744; 0.738; 0.727; 0.701; 0.672,13:24.7,TRUE,0.53924851,0.321393375,0.393304812,0.999553171,3,50
CHEMBL5423089,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2-c1ccc(C(C)C)cc1)OCO3,ChEMBL,Topoisomerase I,Camptothecin,Camptothecin,15,No,High,0.7461,FALSE,0,0.1429,0.4016,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Camptothecin; 10-Hydroxycamptothecin; SN-38; Belotecan; Topotecan,0.746; 0.734; 0.733; 0.713; 0.706,12:43.2,TRUE,0.535937384,0.291336631,0.384353492,0.999557963,3,50
