mol_id,smiles,source_db,molecular_target,mechanism_class,best_ref_name,best_ref_id,adc_approved_ref,bystander_ref,ensemble_tanimoto,scaffold_match,scaffold_score,pharmacophore_score,composite_score,priority_tier,matched_pharmacophores,top5_refs,top5_scores,processed_at,valid_smiles,cytotox_hepg2,cytotox_hskmc,cytotox_imr90,cancer_potency_nci60,Protox_Class,Predicted LD50 (mg/kg)
CHEMBL5181219,COc1cc(C(=O)OC(CC=C(C)C)C2=CC(=O)c3c(OC)ccc(OC)c3C2=O)cc(OC)c1OC,ChEMBL,"Tubulin (?, colch.)",Colchicine-site,Colchicine,56,No,Low,0.4305,FALSE,0,0.4286,0.301,3,Tubulin (??) - Vinca/Auristatin; Tubulin (??) - Maytansinoid; DNA - Calicheamicin/Enediyne; Tubulin (??) - Taxol/Epothilone; SF3B1 - Splicing; HSP90,Colchicine; BNC105; Combretastatin A4; Streptonigrin; Duocarmycin SA,0.431; 0.372; 0.354; 0.340; 0.330,13:24.7,TRUE,0.714430335,0.339212048,0.618250085,0.781629469,4,1000
ZINC50534567,COc1ccc(S(=O)(=O)Nc2ccc(Oc3ccncc3)cc2)cc1,ZINC12,"Tubulin (?, colch.)",Colchicine-site,ABT-751,60,No,High,0.598,FALSE,0,0.0714,0.3133,3,Kinesin Eg5 (KSP),ABT-751; Fosbretabulin; Streptonigrin; Combretastatin A4; BNC105,0.598; 0.232; 0.225; 0.200; 0.193,14:29.3,TRUE,0.528651242,0.162101386,0.206327575,0.660507348,5,2500
CHEMBL2006939,CCC12C=CCN3CCC4(c5cc(C(c6ccc(OC)cc6)C6Cc7ccccc7N6)c(OC)cc5N(C)C4C(O)(C(=O)OC)C1O)C32,ChEMBL,Tubulin (?˜/?),Vinca Alkaloid,Vindesine,44,No,Low,0.6623,FALSE,0,0.2143,0.374,3,Tubulin (??) - Vinca/Auristatin; Tubulin (??) - Maytansinoid; DNA - PBD,Vindesine; Vinblastine; Vinorelbine; Vincristine; PNU-159682,0.662; 0.658; 0.645; 0.617; 0.427,13:24.7,TRUE,0.570161323,0.188911537,0.62017917,0.960613936,4,305
ZINC67910397,CC(=O)O[C@@H]1/C(C)=C/C(=O)[C@H](OC(C)=O)C(C)(C)/C=C/[C@H](C)C(=O)[C@]2(OC(C)=O)C[C@@H](C)[C@@H](OC(=O)c3ccccc3)[C@@H]12,ZINC12,"Tubulin (?, taxol)",Taxane,Paclitaxel,65,No,Low,0.443,FALSE,0,0.4286,0.3072,3,Tubulin (??) - Vinca/Auristatin; Tubulin (??) - Maytansinoid; DNA - Calicheamicin/Enediyne; Tubulin (??) - Taxol/Epothilone; Topoisomerase II / DNA - Anthracycline; SF3B1 - Splicing,Paclitaxel; Docetaxel; Pladienolide B; Epothilone B (Patupilone); Epothilone A,0.443; 0.432; 0.353; 0.323; 0.316,28:28.8,TRUE,0.50795268,0.21441406,0.376615716,0.750035262,,
ZINC67910401,CC(=O)O[C@@H]1/C(C)=C/C(=O)[C@H](OC(C)=O)C(C)(C)/C=C/[C@H](C)C(=O)[C@]2(OC(C)=O)C[C@H](C)[C@@H](OC(=O)c3ccccc3)[C@@H]12,ZINC12,"Tubulin (?, taxol)",Taxane,Paclitaxel,65,No,Low,0.443,FALSE,0,0.4286,0.3072,3,Tubulin (??) - Vinca/Auristatin; Tubulin (??) - Maytansinoid; DNA - Calicheamicin/Enediyne; Tubulin (??) - Taxol/Epothilone; Topoisomerase II / DNA - Anthracycline; SF3B1 - Splicing,Paclitaxel; Docetaxel; Pladienolide B; Epothilone B (Patupilone); Epothilone A,0.443; 0.432; 0.353; 0.323; 0.316,28:28.8,TRUE,0.521258983,0.23869371,0.382969268,0.811180446,,
CHEMBL4863623,COc1ccc(S(=O)(=O)Nc2ccc(Nc3nccc(-c4ccccc4)n3)cc2)cc1,ChEMBL,"Tubulin (?, colch.)",Colchicine-site,ABT-751,60,No,High,0.5875,FALSE,0,0.0714,0.308,3,Kinesin Eg5 (KSP),ABT-751; Streptonigrin; Fosbretabulin; Ganetespib; Adozelesin,0.587; 0.273; 0.210; 0.208; 0.204,10:39.5,TRUE,0.602074587,0.582365333,0.387182152,0.579109046,,
CHEMBL4066728,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(NS(=O)(=O)c3ccc(OC)cc3)cc2)ncc1Cl,ChEMBL,"Tubulin (?, colch.)",Colchicine-site,ABT-751,60,No,High,0.5488,FALSE,0,0.1429,0.303,3,Tubulin (??) - Vinca/Auristatin; Kinesin Eg5 (KSP),ABT-751; Streptonigrin; Ispinesib; Cryptophycin-55; Cryptophycin-52,0.549; 0.274; 0.249; 0.248; 0.246,09:56.1,TRUE,0.541843124,0.614225781,0.452940116,0.988231143,,
CHEMBL1834919,COC1=CC(=O)C(CCCc2ccc(O)c(OC)c2)=CC1=O,ChEMBL,"Tubulin (?, colch.)",Colchicine-site,Colchicine,56,No,Low,0.6109,FALSE,0,0.0714,0.3198,3,Tubulin (??) - Vinca/Auristatin,Colchicine; Combretastatin A4; BNC105; Fosbretabulin; Tomaymycin,0.611; 0.406; 0.315; 0.301; 0.293,12:43.2,TRUE,0.686280126,0.235682444,0.643535458,0.611972279,,
CHEMBL3298766,CO[C@@H]1[C@H]2[C@@H]([C@@H](OC(C)=O)[C@@H](C)C(=O)[C@@]34C[C@H](C)[C@H](OC(C)=O)[C@]3(/C=C(\CO)[C@H]1OC(=O)c1ccccc1)O4)C2(C)C,ChEMBL,"Tubulin (?, taxol)",Taxane,Paclitaxel,65,No,Low,0.4691,FALSE,0,0.3571,0.306,3,Tubulin (??) - Vinca/Auristatin; Tubulin (??) - Maytansinoid; DNA - Calicheamicin/Enediyne; Tubulin (??) - Taxol/Epothilone; Topoisomerase II / DNA - Anthracycline,Paclitaxel; Docetaxel; Spliceostatin A; Ansamitocin P3; Pladienolide B,0.469; 0.457; 0.362; 0.361; 0.360,09:56.1,TRUE,0.530351711,0.191299627,0.491192673,0.788812681,,
CHEMBL3298773,CO[C@@H]1[C@H]2[C@@H]([C@@H](OC(C)=O)[C@@H](C)C(=O)[C@@]34C[C@H](C)[C@H](O)[C@]3(/C=C(\C)[C@H]1OC(=O)c1ccccc1)O4)C2(C)C,ChEMBL,"Tubulin (?, taxol)",Taxane,Paclitaxel,65,No,Low,0.4702,FALSE,0,0.3571,0.3065,3,Tubulin (??) - Vinca/Auristatin; Tubulin (??) - Maytansinoid; DNA - Calicheamicin/Enediyne; Tubulin (??) - Taxol/Epothilone; Topoisomerase II / DNA - Anthracycline,Paclitaxel; Docetaxel; Pladienolide B; Epothilone B (Patupilone); Daunorubicin,0.470; 0.455; 0.376; 0.368; 0.366,09:56.1,TRUE,0.589124533,0.30430184,0.592379177,0.785042872,,
CHEMBL4865055,COc1ccc(S(=O)(=O)Nc2ccc(Nc3nc(C)cc(Nc4ccc(OC)c(O)c4)n3)cc2)cc1,ChEMBL,"Tubulin (?, colch.)",Colchicine-site,ABT-751,60,No,High,0.5914,FALSE,0,0.0714,0.31,3,Kinesin Eg5 (KSP),ABT-751; Streptonigrin; Tomaymycin; Combretastatin A4; BNC105,0.591; 0.310; 0.269; 0.269; 0.264,09:56.1,TRUE,0.588510928,0.562728862,0.424357388,0.806048979,,
CHEMBL361453,C=C1C[C@@H]2CC[C@@]34C[C@@H]5O[C@@H]6C(C[C@H]7CC[C@H](CC(=O)C[C@@H]8[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]8C[C@H]8O[C@@H](CC[C@@H]1O2)C[C@@H](C)C8=C)O[C@@H]7[C@@H]6O3)[C@H]5O4,ChEMBL,Tubulin (non-Vinca),Tubulin misc.,Eribulin,80,No,Low,0.9314,FALSE,0,0.0714,0.48,2,Tubulin (??) - Vinca/Auristatin,Eribulin; Halichondrin B; Spliceostatin A; FR901464; Thailanstatin A,0.931; 0.637; 0.355; 0.335; 0.332,14:06.1,TRUE,0.502462634,0.743247023,0.802838349,0.999305728,,
CHEMBL3945137,CC[C@H](C)[C@H](NC(=O)[C@@]1(C)CCCN1C)C(=O)N(C)[C@H](C[C@@H](OC(C)=O)c1nc(C(=O)NCCc2cscn2)cs1)C(C)C,ChEMBL,Tubulin (?),Tubulysin,Tubulysin M,35,No,High,0.6742,FALSE,0,0.2143,0.3799,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - Calicheamicin/Enediyne,Tubulysin M; Tubulysin I; Tubulysin A; Tubulysin B; Pretubulysin,0.674; 0.618; 0.609; 0.608; 0.562,14:47.9,TRUE,0.082139083,0.031011877,0.093096885,0.99962326,,
CHEMBL2373359,C/C(=C\c1cc(C)ccn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,ChEMBL,"Tubulin (?, taxol)",Epothilone,Epothilone B (Patupilone),62,No,Low,0.7744,FALSE,0,0.2143,0.4301,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - Calicheamicin/Enediyne,Epothilone B (Patupilone); Epothilone A; Ixabepilone; Pladienolide B; Docetaxel,0.774; 0.674; 0.591; 0.377; 0.355,14:06.1,TRUE,0.21086788,0.164070886,0.200219234,0.999585193,3,100
ZINC44963251,C/C(=C\c1csc(C)n1)[C@H]1C[C@@H]2O[C@@H]2CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,ZINC12,"Tubulin (?, taxol)",Epothilone,Epothilone A,61,No,Low,1,FALSE,0,0.2143,0.5429,2,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - Calicheamicin/Enediyne,Epothilone A; Epothilone B (Patupilone); Ixabepilone; Pladienolide B; Halichondrin B,1.000; 0.874; 0.663; 0.367; 0.339,09:34.2,TRUE,0.190799844,0.188139722,0.184074636,0.999583977,3,100
CHEMBL363312,C=C1C[C@@H]2CC[C@@]34C[C@@H]5O[C@@H]6C(O[C@H]7CC[C@H](CC(=O)C[C@@H]8[C@@H](OC)[C@@H](C[C@H](O)CNC)O[C@H]8C[C@H]8O[C@@H](CC[C@@H]1O2)C[C@@H](C)C8=C)O[C@@H]7[C@@H]6O3)[C@H]5O4,ChEMBL,Tubulin (non-Vinca),Tubulin misc.,Eribulin,80,No,Low,0.9168,FALSE,0,0.0714,0.4727,2,Tubulin (?ý) - Vinca/Auristatin,Eribulin; Halichondrin B; Spliceostatin A; FR901464; Thailanstatin A,0.917; 0.667; 0.364; 0.344; 0.341,37:11.2,TRUE,0.435387905,0.73448585,0.805621943,0.999577445,,
ZINC44963255,C/C(=C\c1csc(C)n1)[C@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,ZINC12,"Tubulin (?, taxol)",Epothilone,Epothilone B (Patupilone),62,No,Low,1,FALSE,0,0.2143,0.5429,2,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - Calicheamicin/Enediyne,Epothilone B (Patupilone); Epothilone A; Ixabepilone; Pladienolide B; Docetaxel,1.000; 0.874; 0.755; 0.359; 0.332,09:34.2,TRUE,0.199020826,0.202886507,0.199517496,0.999573317,,
CHEMBL511398,CC1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)C\C=C\1,ChEMBL,"Tubulin (?, taxol)",Epothilone,Epothilone A,61,No,Low,0.6472,FALSE,0,0.2143,0.3665,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - Calicheamicin/Enediyne,Epothilone A; Epothilone B (Patupilone); Ixabepilone; Pladienolide B; Discodermolide,0.647; 0.630; 0.485; 0.333; 0.328,13:24.7,TRUE,0.217526729,0.105136477,0.131505872,0.999558905,,
CHEMBL585539,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@@H](N)CO,ChEMBL,"Tubulin (?, colch.)",Colchicine-site,Combretastatin A4,57,No,High,0.4579,TRUE,1,0.1429,0.5575,2,Tubulin (?ý) - Vinca/Auristatin; HSP90,Combretastatin A4; Fosbretabulin; Streptonigrin; Epirubicin; Doxorubicin,0.458; 0.439; 0.310; 0.309; 0.309,37:11.2,TRUE,0.183962776,0.084008649,0.130268333,0.99949412,,
CHEMBL471485,C/C(=C\c1coc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,ChEMBL,"Tubulin (?, taxol)",Epothilone,Epothilone B (Patupilone),62,No,Low,0.845,FALSE,0,0.2143,0.4654,2,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - Calicheamicin/Enediyne,Epothilone B (Patupilone); Epothilone A; Ixabepilone; Pladienolide B; Paclitaxel,0.845; 0.736; 0.665; 0.361; 0.351,37:11.2,TRUE,0.16422199,0.179266359,0.185180375,0.999458247,,
CHEMBL1188197,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1OCCN(C)C,ChEMBL,"Tubulin (?, colch.)",Colchicine-site,Combretastatin A4,57,No,High,0.582,TRUE,1,0.0714,0.6053,2,HSP90,Combretastatin A4; Fosbretabulin; Colchicine; BNC105; Tesirine payload (SG3199),0.582; 0.497; 0.333; 0.294; 0.289,14:47.9,TRUE,0.265156942,0.021098144,0.308486702,0.999439186,,
CHEMBL1983958,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,ChEMBL,"Tubulin (?, taxol)",Epothilone,Epothilone B (Patupilone),62,No,Low,1,FALSE,0,0.2143,0.5429,2,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - Calicheamicin/Enediyne,Epothilone B (Patupilone); Epothilone A; Ixabepilone; Pladienolide B; Docetaxel,1.000; 0.874; 0.755; 0.359; 0.332,09:56.1,TRUE,0.189384821,0.18744036,0.211528938,0.9993864,,
ZINC44136278,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@H]2CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,ZINC12,"Tubulin (?, taxol)",Epothilone,Epothilone A,61,No,Low,1,FALSE,0,0.2143,0.5429,2,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - Calicheamicin/Enediyne,Epothilone A; Epothilone B (Patupilone); Ixabepilone; Pladienolide B; Halichondrin B,1.000; 0.874; 0.663; 0.367; 0.339,10:51.0,TRUE,0.191454247,0.147465595,0.21989507,0.999385795,,
CHEMBL196415,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(CF)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,ChEMBL,"Tubulin (?, taxol)",Epothilone,Epothilone B (Patupilone),62,No,Low,0.8811,FALSE,0,0.2143,0.4834,2,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - Calicheamicin/Enediyne,Epothilone B (Patupilone); Epothilone A; Ixabepilone; Pladienolide B; Docetaxel,0.881; 0.816; 0.677; 0.349; 0.329,12:01.5,TRUE,0.169730759,0.172249238,0.207586662,0.999368575,,
ZINC03951738,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@@H]2CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,ZINC12,"Tubulin (?, taxol)",Epothilone,Epothilone A,61,No,Low,1,FALSE,0,0.2143,0.5429,2,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - Calicheamicin/Enediyne,Epothilone A; Epothilone B (Patupilone); Ixabepilone; Pladienolide B; Halichondrin B,1.000; 0.874; 0.663; 0.367; 0.339,08:05.9,TRUE,0.181867192,0.173514356,0.202115729,0.999366859,,
CHEMBL554564,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2OC(c3cccnc3)=N[C@H]2CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,ChEMBL,"Tubulin (?, taxol)",Epothilone,Epothilone A,61,No,Low,0.6991,FALSE,0,0.2143,0.3924,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - Calicheamicin/Enediyne,Epothilone A; Epothilone B (Patupilone); Ixabepilone; Paclitaxel; Docetaxel,0.699; 0.656; 0.568; 0.353; 0.347,14:47.9,TRUE,0.139239775,0.090202495,0.121573338,0.999344748,,
CHEMBL525062,COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@H](C)[C@@H]3O[C@@H]3c3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)CNC2=O)cc1Cl,ChEMBL,Tubulin (?),Cryptophycin,Cryptophycin-1,38,No,High,1,FALSE,0,0.2143,0.5429,2,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - Calicheamicin/Enediyne,Cryptophycin-1; Cryptophycin-52; Cryptophycin-55; Ansamitocin P3; DM4,1.000; 0.896; 0.737; 0.387; 0.382,12:01.5,TRUE,0.272410991,0.489897403,0.264525008,0.999312451,,
